,has,sky
opt,977296.0,977296.0
de,601621.0,601621.0
rnd,724666.0,724666.0
nn,790697.0,758491.0
dac,742271.0,709820.0
bo,828097.0,918223.0
ex,875176.0,889263.0
hi,783945.0,889263.0
n-de,0.3844024737643457,0.3844024737643457
n-rnd,0.2584989603968501,0.2584989603968501
n-nn,0.19093396473535143,0.22388815670994253
n-dac,0.24048497077650988,0.273689854455559
n-bo,0.15266510862625038,0.06044535125489105
n-ex,0.10449239534388763,0.09007813395327516
n-hi,0.19784282346392495,0.09007813395327516
