,has,sky
opt,47954.0,47954.0
de,27994.0,27994.0
rnd,32180.0,32180.0
nn,31124.0,31242.0
dac,30811.0,31065.0
bo,45896.0,45896.0
ex,45789.0,44506.0
hi,38153.0,43997.0
n-de,0.4162322225466072,0.4162322225466072
n-rnd,0.32894023439129166,0.32894023439129166
n-nn,0.3509613379488677,0.34850064645285067
n-dac,0.3574884264086416,0.35219168369687615
n-bo,0.04291612795595779,0.04291612795595779
n-ex,0.04514743295658339,0.07190223964632773
n-hi,0.20438336739375235,0.08251657838762147
