,has,sky
opt,188965.0,188965.0
de,164745.0,164745.0
rnd,172103.0,172103.0
nn,171138.0,170530.0
dac,168534.0,167442.0
bo,170300.0,173510.0
ex,169241.0,179315.0
hi,175704.0,187331.0
n-de,0.12817188368216337,0.12817188368216337
n-rnd,0.08923345593099251,0.08923345593099251
n-nn,0.09434022173418358,0.09755774878945836
n-dac,0.10812055142486704,0.11389939935966978
n-bo,0.09877490540576297,0.08178763263038129
n-ex,0.10437911782605244,0.05106765803191067
n-hi,0.07017701690789299,0.008647103961050989
