,has,sky
opt,799886.0,799886.0
de,468353.0,468353.0
rnd,513635.0,513635.0
nn,550699.0,534939.0
dac,501906.0,709178.0
bo,671115.0,671115.0
ex,728147.0,657381.0
hi,657381.0,706169.0
n-de,0.41447531273206434,0.41447531273206434
n-rnd,0.357864745726266,0.357864745726266
n-nn,0.31152814276034335,0.3312309504104335
n-dac,0.3725280852521484,0.1134011596652523
n-bo,0.16098669060341098,0.16098669060341098
n-ex,0.08968653033057211,0.1781566373208182
n-hi,0.1781566373208182,0.11716294571976507
