,Duration,Throughput,s1branch,s1LLCload,s1L1dcacheload,s1dTLBload,s1iTLBload,s1cache,s1IPC,s1context,s1faults,s1bus,s2branch,s2LLCload,s2L1dcacheload,s2dTLBload,s2iTLBload,s2cache,s2IPC,s2context,s2faults,s2bus,s3branch,s3LLCload,s3L1dcacheload,s3dTLBload,s3iTLBload,s3cache,s3IPC,s3context,s3faults,s3bus,s4branch,s4LLCload,s4L1dcacheload,s4dTLBload,s4iTLBload,s4cache,s4IPC,s4context,s4faults,s4bus
0,53.569,28287.0,0.02600970283096075,0.12473501217666615,0.08740798175020145,0.006380972212816029,0.9540223026821236,0.07388659267401952,0.526979208697881,1.3519569967397655,2.285095757877484,17015.88293389381,0.02343114204108535,0.12635119322990693,0.08883903343409241,0.006595739642363754,0.8581978773805543,0.07375538788606113,0.5874054789864598,1.5111153097763794,1.9247900932210498,12207.171538055969,0.024318367739399226,0.1284731915230611,0.08618281995587208,0.006502112072463646,0.9200807140992855,0.07278922063810944,0.5993645553123484,1.558437388589078,2.143346514907205,13511.506794080195,0.024714755985243492,0.13245129325012192,0.08335187991454389,0.0057864142134750815,0.8213005471020801,0.07495250149455002,0.5821155927895969,1.3602152102301261,2.127846385264736,13209.942561239022
1,47.558,31862.0,0.02420209551785074,0.154766929821306,0.1033840457184098,0.005959553757583856,0.8290980552311296,0.10186672205915799,0.47137671555939326,1.0780062021409595,1.698851397600696,18431.276935353377,0.02410244320050827,0.16012400115034717,0.09846190050792034,0.005684352231388431,0.8165226733367786,0.10070839691943693,0.49587807541661577,1.1755289263594686,1.764859458552979,15080.564275269719,0.023719275932993333,0.15987329630775582,0.10466910651308703,0.006541786083617905,0.8520031884025163,0.0978182975724845,0.4960958867054554,1.14926772438247,1.5603526618124295,15225.941598624791,0.023087345037151485,0.16782462635108078,0.10367005396194989,0.005670404108310017,0.7901320941256641,0.10309054042905672,0.5002150411571449,1.1600922554970465,1.6785423183419508,16288.5880789567
2,51.962,29161.0,0.025190241186592018,0.1304458763241941,0.08820672338042175,0.005793884702144655,0.8580713275426003,0.07654866227387339,0.5208666074876751,1.324790195619335,2.2769416635343234,16358.610211918169,0.023476723049016712,0.13270894420458007,0.09134499731942974,0.006273699814580176,0.7900908456519801,0.07814699301263184,0.5709446398192051,1.4825569704782215,2.08932473834806,14174.49168103146,0.024953974914161504,0.12776447318720477,0.09015119618453143,0.006785170619603011,0.9052504419986781,0.0735156862360415,0.5974141410569449,1.3816313225770231,1.7854732821852026,13719.6645895566,0.024966036460058075,0.1307147138207902,0.08801364941026538,0.00640533374276527,0.7901884038883501,0.08021713242001405,0.5566994886431643,1.3571950459675022,1.9101722585006293,12436.22721645252
3,51.994,29143.0,0.024730709286502894,0.13339008531681906,0.08594609605781386,0.005905377302629695,0.8867212838972347,0.0741471633575509,0.5160078797845495,1.3536514090508673,1.754014907174949,15916.072023093311,0.024675016724509825,0.1238292366212311,0.09005248766487112,0.006723132215592043,0.8894580887702738,0.06699352646849785,0.6020390000121122,1.3527183622862131,1.641156726753756,12426.909011979431,0.024526117919304844,0.13225308233467611,0.0862564542884139,0.006155487339883939,0.7709561781091722,0.07457862342250439,0.5794123304887595,1.3041426861563987,1.7186481745703706,12599.49951867974,0.024227013432081262,0.12655277642015117,0.08665214614594488,0.005713399729124182,0.9626200397464504,0.06754838008978324,0.628624947141513,1.280590792113843,1.5263437529043529,12277.68700580854
4,61.946,24461.0,0.024929539835266096,0.14300856001606707,0.08610100558791658,0.004988831017608774,0.7050197296207511,0.08450999273300669,0.5387688240290627,1.047663198796435,1.5664311873976922,15374.74265394874,0.02228304437856271,0.13356813499745165,0.08780118745555116,0.005731260895129422,0.7619307988663739,0.07633379185165125,0.5948220008380777,1.286222159557452,1.5114108233878236,12447.639397729228,0.024868213736035056,0.12682718753195676,0.08819283248158809,0.006454573946635679,0.8867039564769248,0.07480233201592539,0.5788347662157808,1.2917731392131135,1.397824667901194,12909.47723268041,0.022242057892165896,0.13270978101893882,0.09027527716524991,0.005727300273469255,0.8652692024531607,0.07665353947218004,0.6010582580363719,1.2789194914914188,1.398815761290011,12467.702561203425
5,48.86,31013.0,0.024993830004701085,0.1357601081991797,0.09758052078009342,0.00588980528747452,0.9217528122900115,0.08087519374424602,0.5065470018338396,1.1038487923155789,1.698505262792346,17499.67659751779,0.02499057867165864,0.14084190249107167,0.09711958418552007,0.0058611351516696065,0.7566783203243657,0.08420993930695525,0.5731437858429883,1.166276878652762,1.6138702969034968,14410.493894669922,0.023753825945429817,0.13874544854062504,0.09720900593376325,0.007110217438258834,0.8852127022945038,0.08461371637462231,0.5841016602384491,1.2780760633038073,1.7412018382817191,13202.499100905738,0.023764128331662242,0.12803974908268126,0.09292915742392041,0.005947590477280831,0.8402343633337962,0.0764773089602554,0.5856513320059946,1.178369296615635,1.5780856176578646,13853.591317562725
6,63.002,24051.0,0.023649008353509346,0.12363317995901806,0.0859125372430319,0.005078559387797031,0.740589949002809,0.07142802170960545,0.5498607060896455,1.1427232557914757,1.4070151870397114,14587.779764387526,0.02339087660487995,0.1280417446070678,0.0825811207293663,0.005257387393429068,0.7803725539875433,0.07704687601866844,0.5980434213340106,1.2157312882829368,1.1746289276185422,12863.896444720198,0.023469245123196942,0.11986451101148225,0.08453819965571159,0.006002031184170666,0.8267156592328591,0.06811662184453879,0.6045461945700158,1.2948288226507787,1.3465750349030339,12710.235603988163,0.024718124291274932,0.12449627037839928,0.08427690160928394,0.005334281156788291,0.7458547358325965,0.075212545881072,0.6082576670670081,1.1519333357622479,1.2396901275876366,11138.346396932588
7,54.716,27694.0,0.025431737243320394,0.1336754575328346,0.08368383978963438,0.006161157257535463,0.8799700761858343,0.07722987617439234,0.5386280198745345,1.4856112642672852,2.156480112209083,16742.060147670032,0.023465191432707283,0.12936528532868732,0.09069627964395696,0.007529649585371379,1.1276516580988905,0.07473901127916614,0.5636615474660536,1.6034885569522725,1.9860051672661512,12335.474018186856,0.023214744875483955,0.13081001845864998,0.08748388601470244,0.00612199734132419,0.7493649465953367,0.07328319799618138,0.5805311055988623,1.3729686958164828,1.995867673260731,12421.28746827131,0.024074119259351587,0.12852308682505642,0.09075597642089485,0.006226497838221054,0.8180142805542476,0.07046661014673666,0.5712950323833629,1.446625643592841,1.8897451725089167,12665.81047111213
8,48.478,31257.0,0.025375462688729047,0.13539133031454273,0.09697245354086648,0.006597045448293729,0.9587730508903803,0.08071884766305726,0.5114628869938829,1.3367134172317232,2.2136069764601487,17437.615607675954,0.023901825805126908,0.1455560326657755,0.0958981598247485,0.0065623283646446375,0.878122072452845,0.08450563888773713,0.5540747983466926,1.2974952305963143,2.0914894189565807,15265.995182681421,0.023840621270597728,0.14479188401882095,0.09845181728190837,0.006765979728893901,0.9074050644103576,0.08481617294183458,0.5395464119600846,1.3652533752746654,2.141443626712379,14796.29273053938,0.024050628772357904,0.13239642695161508,0.09813634350831173,0.007356780994033484,1.034898100969293,0.07325405143668055,0.5787874727084299,1.3388084456824831,1.9704524914915975,13757.715343686317
9,59.145,25620.0,0.022314196515480948,0.15653705071994478,0.09679594969018572,0.004974383413672573,0.7896391719425042,0.09487602542058034,0.5174094581774641,1.0457940349466988,1.3618979136049398,17985.00604393067,0.022666390042219053,0.14939220750545626,0.09827504292552888,0.005566249675147232,0.7718538194452635,0.08847518456539023,0.5381570213627075,1.1530844537898957,1.3827015498392046,14664.500811430387,0.022546062131857204,0.15182729342434098,0.10091085900127487,0.006210035223440861,0.8663316603464156,0.09068586346664782,0.5600530613975647,1.1128157451279743,1.1859791446773693,13258.91097845468,0.025430771926792356,0.15089099295782465,0.0972102256897437,0.005834808980895009,0.8011226595510943,0.08970025223687823,0.5389131453225121,0.9999327097595888,1.250367531245711,14053.133156054928
