,Duration,Throughput,s1branch,s1LLCload,s1L1dcacheload,s1dTLBload,s1iTLBload,s1cache,s1IPC,s1context,s1faults,s1bus,s2branch,s2LLCload,s2L1dcacheload,s2dTLBload,s2iTLBload,s2cache,s2IPC,s2context,s2faults,s2bus,s3branch,s3LLCload,s3L1dcacheload,s3dTLBload,s3iTLBload,s3cache,s3IPC,s3context,s3faults,s3bus,s4branch,s4LLCload,s4L1dcacheload,s4dTLBload,s4iTLBload,s4cache,s4IPC,s4context,s4faults,s4bus
0,38.79,20623872.0,0.01655503212792973,0.27035664334442405,0.08320602830546828,0.003582818869678253,0.9553205488238264,0.23482197966990642,0.3667763188291531,0.23022514384052187,1.7793583883632316,21539.574179971605,0.015752993826215488,0.2690945914498659,0.08447183568923797,0.0035792721287055723,0.875534072846359,0.23488997556472627,0.3623637947118434,0.19847706429297424,1.5062191270051266,19575.164093393603,0.016424448535095178,0.27782540470712075,0.07929267933177214,0.003275851171825921,0.9805862499442939,0.2376140538814123,0.3513539254054047,0.2149464718522046,1.6160711773212333,19071.100144185166,0.0168442346617398,0.2800140631105018,0.07807663129322355,0.003187130215542737,0.8560787217183984,0.2415262187262728,0.38023800546971676,0.23603018254416364,1.6932326725353886,18152.8443117818
1,46.871,17068123.0,0.016643211435462886,0.2775103425864604,0.08660170571793262,0.0030840429732271503,0.9867590160201362,0.25011486088803414,0.3074229380994222,0.18346215506906766,1.3902687369297337,25211.752290731612,0.017535660915911206,0.25441020038224377,0.07239969289722066,0.002720105689384006,0.8846813533673522,0.21694691612746858,0.34062776963054675,0.18181551429312295,1.2792508721389946,15392.120980525311,0.01711717467203324,0.2719588551133312,0.07083865162536519,0.0029063584443014346,0.8337778149139696,0.22250820913741004,0.4170899939592344,0.17340194424853886,1.372117362346811,12752.78592371575,0.017449075280996373,0.27912977680271367,0.0851436107788011,0.0035787385532967115,0.8050394613090657,0.25294032795245514,0.3082108908600535,0.18309143500549505,1.628362538044367,21583.685038482105
2,40.49,19757964.0,0.014933349156883359,0.25919433721004537,0.0757848339312108,0.002908377762713884,0.9034991549542317,0.22048638594317818,0.39518081023565854,0.21761100333704406,1.7248982077667667,19469.577798270722,0.015820841947051703,0.2753245072020237,0.0835027763716768,0.002900128899051404,0.7649927058841118,0.23866316209492625,0.317896761577119,0.222763033628706,1.8515643995326463,22073.637829958476,0.016281885303140547,0.2711157166619811,0.0741386190788439,0.0033273566986992942,0.9112837249942725,0.23214898966566186,0.3974008651437173,0.23929319121402765,2.2282392243707654,17118.674592468284,0.016546293010552406,0.2794744341684245,0.07232650413564641,0.0031536271648960183,1.0709953993112946,0.2301273500454766,0.3444400673631637,0.18370079858397226,1.6370963545604562,17036.189968879837
3,48.044,16651402.0,0.015221647446736557,0.28267977650144627,0.08504428066591459,0.0029790876793115424,0.7742643876578537,0.2447857267570216,0.336184177400055,0.1821610210923345,1.2699862544747247,18967.777429682537,0.017974704153977138,0.2705098602996351,0.08043530993146493,0.003457427456314013,0.9774179734924295,0.226496412604795,0.359159561116017,0.17362694121723535,1.4232020959558507,14528.38325102584,0.014873043523020291,0.2763321838775814,0.07679979018451975,0.003268736339668858,0.9394077316806965,0.2434081760068136,0.31722709394579096,0.18677930681835134,1.6302618564842366,19479.347137845463,0.016805325535373648,0.27137899866791154,0.06991732171119873,0.0028321820088231895,0.9529425982569879,0.2332831242337024,0.36247898115457905,0.20733077018577187,1.5899540770326734,15390.633004600833
4,59.469,13452386.0,0.015386915237349608,0.2724173101093701,0.07885419819193394,0.002959206945694232,0.9189408905886017,0.23824478793805753,0.3526371127913279,0.17860342784205158,1.3711969856621158,16741.13878601422,0.017221518177276865,0.263012123784133,0.07130848963024662,0.0031910823175115917,1.0220100202352493,0.21416936209256648,0.37987426227029636,0.16772456440913247,1.2495652025053134,12051.070363385898,0.016256773021585062,0.2774141122757201,0.07792753289122985,0.003293379772925895,0.8079908734044962,0.24433416681674608,0.3137908711358033,0.15263279967625745,1.258161325897927,15317.370463405885,0.016111652091996026,0.27490257022242454,0.08059582235548575,0.003370364240247764,1.0230417828739478,0.2375054264055931,0.3320743382445824,0.14042194487354082,1.0524097957260836,14433.687676833491
5,45.062,17753317.0,0.017443565962531833,0.2658252881412664,0.0722332086620017,0.0032940439271500347,1.0330231307890791,0.21166697932120804,0.4635687459604815,0.1963499752697637,1.710397711641446,13783.174903907735,0.0171654578255764,0.2662253406374607,0.06774456437089778,0.0032415406505688416,0.9096073510161871,0.22902909810317568,0.4131597148321416,0.21867397930587879,1.7724640088262205,15188.78281246028,0.017708966366729702,0.26539129633145675,0.07055491623880211,0.00298078747343461,0.9226862279837381,0.21633801657177332,0.41922143420942587,0.16864508170418874,1.2162502366642198,11763.711447069472,0.0173647707463382,0.26698468803574804,0.0714976221575872,0.0032242242773704985,0.8759958193872576,0.20906084648697268,0.4189357794544393,0.18652404910380885,1.2345319173532083,12748.821555868219
6,50.66,15791551.0,0.015320254409942197,0.28206441640044044,0.07492444461909464,0.0030923479683074967,0.9259134922200973,0.24636849664620797,0.34343948286009773,0.17810991452141473,1.8958056795959413,19778.04199257879,0.017734736631481784,0.25505454895043655,0.07309374483310381,0.0032629878951309778,1.054551954645889,0.21284221031624462,0.4002141238550374,0.1932147701490423,1.6352984008957432,13045.373478934753,0.015381406246576683,0.2771716529209021,0.07338138897608383,0.0031597829502057577,1.0050768182297019,0.23426097636574608,0.3520926523128089,0.15148298008630123,1.2777521821495093,14860.536316777447,0.018263076926555728,0.2704589866336776,0.0805169992136517,0.0031804002570959052,0.8901422865837861,0.22699145301132687,0.3455728602405211,0.19656753117232803,1.6220243762659503,15643.359833133001
7,42.624,18768768.0,0.014869216567434403,0.280185056163493,0.07427094460661585,0.0031622345999674415,0.7774871989095186,0.2451435957261755,0.36083658391062734,0.20032043538550173,1.656129429078346,20741.10318857345,0.016003505228607016,0.2632892744558404,0.07673029690203022,0.003121911482323266,0.7910744984458339,0.22732811286708435,0.3581208725347323,0.19382248842835584,1.4034124228156533,17135.65620151483,0.016873208611812462,0.27013717184746416,0.08476169231325663,0.003107107995464268,0.8334128199847992,0.22980426943870597,0.3355948006048164,0.18451059724073837,1.177035811654376,17151.043165554624,0.015970105446676288,0.27224418359940905,0.07287044037409605,0.003313610824708851,0.9467565924610606,0.22971551951246566,0.3770407061911452,0.2358184298263826,1.9636080711709332,18011.40438234819
8,42.211,18952405.0,0.01785549837704532,0.26326160003832066,0.0742383442332904,0.002981121756481069,0.8450670072759038,0.21192558847167703,0.46035409404609,0.1974311282457137,1.4739969551553678,13884.735223382988,0.017671263231434024,0.28272421655783786,0.07478957702932856,0.0031597512423091503,0.9496135727559711,0.23443252520209149,0.3848456444306779,0.22940524469971124,1.7320742313010073,15446.989538944397,0.015222216655020715,0.2630621613877353,0.07857803517848808,0.002679415711587223,0.8012699418738689,0.22473171614397863,0.36127280043040083,0.19510245093892084,1.3357673681744846,17832.529642504138,0.016808244942086232,0.2731440920259265,0.06735449092538687,0.0032551689871458053,1.157239364856816,0.22569039259701779,0.4435680756944955,0.2175628324871121,1.6210178470108427,13993.076386073617
9,55.023,14539374.0,0.016364012444143164,0.2747849376811003,0.09007892731728659,0.003301539433152823,0.9498688165046203,0.25304738389433834,0.30571094857280895,0.21939536322419298,1.705015005972259,24412.30515678831,0.01741707182756154,0.2824400984364242,0.08595072039077867,0.003722785851377173,1.0026854196115051,0.25178298754200135,0.27991272046277577,0.1942939563067512,1.3410566611411634,20763.463684152175,0.017553675108537267,0.27183891681600303,0.07257659355804004,0.003187250997202187,0.9100786618506379,0.21216819508631124,0.42002261425141163,0.1549585144934936,1.0884730648580667,10610.99213482803,0.01697031309207432,0.264984633014709,0.07658111804302999,0.0029844543983229646,1.0732637329305734,0.21703369351083857,0.3864570727889053,0.1614523391891402,1.2968261918359316,13258.201843648398
