,stg,sky
opt,39124.0,39124.0
de,21781.0,21781.0
rnd,23519.0,23519.0
nn,24172.0,24403.0
dac,24564.0,23401.0
bo,35592.0,35072.0
ex,34890.0,34940.0
hi,35719.0,38300.0
n-de,0.44328289540946736,0.44328289540946736
n-rnd,0.39886003476127185,0.39886003476127185
n-nn,0.38216951231980373,0.37626520805643593
n-dac,0.37215008690317963,0.4018760862897454
n-bo,0.09027706778448011,0.10356814231673653
n-ex,0.10822001840302628,0.10694203046723239
n-hi,0.08703097842756365,0.021061241181883242
