,has,stg
opt,162409.0,162409.0
de,114341.0,114341.0
rnd,129990.0,129990.0
nn,128179.0,123219.0
dac,125279.0,122918.0
bo,130410.0,143319.0
ex,162409.0,140590.0
hi,142277.0,123969.0
n-de,0.2959688194619756,0.2959688194619756
n-rnd,0.1996133219218147,0.1996133219218147
n-nn,0.2107641817879551,0.24130436121150922
n-dac,0.22862033507995247,0.24315770677733378
n-bo,0.19702725834159437,0.11754274701525162
n-ex,0.0,0.134346002992445
n-hi,0.12395864761189343,0.23668639053254437
