,has,stg
opt,830689.0,830689.0
de,472644.0,472644.0
rnd,603645.0,603645.0
nn,588571.0,576941.0
dac,567212.0,574187.0
bo,573057.0,573057.0
ex,797350.0,764228.0
hi,709656.0,797350.0
n-de,0.43102171811592543,0.43102171811592543
n-rnd,0.27332009933922324,0.27332009933922324
n-nn,0.2914664814389019,0.3054669075911683
n-dac,0.31717887199661965,0.30878222776514436
n-bo,0.31014254432164146,0.31014254432164146
n-ex,0.040134153696509765,0.08000707846137363
n-hi,0.14570194140045192,0.040134153696509765
