,has,stg
opt,36941.0,36941.0
de,18817.0,18817.0
rnd,22695.0,22695.0
nn,22247.0,20532.0
dac,21459.0,21441.0
bo,33059.0,33059.0
ex,28229.0,30487.0
hi,28474.0,22932.0
n-de,0.49062017812187003,0.49062017812187003
n-rnd,0.38564196962724345,0.38564196962724345
n-nn,0.39776941609593675,0.44419479710890336
n-dac,0.419100728188192,0.41958799166238053
n-bo,0.10508648926666847,0.10508648926666847
n-ex,0.23583552150726836,0.17471102568961316
n-hi,0.2292033242197017,0.3792263338837606
