,has,stg
opt,1176755.0,1176755.0
de,696640.0,696640.0
rnd,900984.0,900984.0
nn,783589.0,854650.0
dac,794598.0,802246.0
bo,1159842.0,936735.0
ex,916275.0,892458.0
hi,1159842.0,820411.0
n-de,0.40799911621365537,0.40799911621365537
n-rnd,0.234348696202693,0.234348696202693
n-nn,0.33411032882800584,0.2737230774460274
n-dac,0.3247549404931358,0.31825571168170097
n-bo,0.014372575429889824,0.2039676908107465
n-ex,0.22135448755263415,0.24159404463970835
n-hi,0.014372575429889824,0.30281919345998104
